name,url,country,province,thumbnail,average_tuition,average_tuition_currency,logo,type,Number of Students,International Students,University Type,Number of Academician,Erasmus,Scholarship Ratio,Urap Standings,Placement Rate,Technology Office,Student/Academician,Entrepreneurship Index Score,Library Area,Ar-Ge Expense,programs,features,address
University of Kent,https://univerlist.com/university-of-kent/,United Kingdom,Canterbury,https://univerlist.com/media/cache/9f/4b/9f4b123bf7ac75810453d1a6c75a6923.webp,"1,383,642",USD,https://univerlist.com/media/cache/ec/c7/ecc7d95b8729c3e0ffa994a4a56d9b4e.webp,Private,20.220,,Private,,Yes,None,,-,No,,,,,"[{'program_name': 'Accountancy', 'language': 'English', 'year': '-', 'tuition': '-'}, {'program_name': 'American Studies', 'language': 'English', 'year': '-', 'tuition': '-'}, {'program_name': 'Anthropology', 'language': 'English', 'year': '-', 'tuition': '-'}, {'program_name': 'Applied Psychology', 'language': 'English', 'year': '-', 'tuition': '-'}, {'program_name': 'Architecture', 'language': 'English', 'year': '-', 'tuition': '-'}, {'program_name': 'Art History', 'language': 'English', 'year': '-', 'tuition': '-'}, {'program_name': 'Biology', 'language': 'English', 'year': '-', 'tuition': '-'}, {'program_name': 'Biomedical Engineering', 'language': 'English', 'year': '-', 'tuition': '-'}]","[""Music Studio"", ""Security"", ""Health Center"", ""Dormitory"", ""Radio Studio"", ""Museum"", ""Film Studio"", ""Cafeteria"", ""Library""]","University of Kent,CanterburyKentCT2 7NZ"
Krirk University,https://univerlist.com/krirk-university/,Thailand,Bangkok,https://univerlist.com/media/cache/26/55/26551be2578b2d469289fd7ed43e9b8f.webp,,USD,https://univerlist.com/media/cache/bc/93/bc93e41a355e104f0f2d48349cb6c54f.webp,Private,,,Private,,No,None,,-,No,,,,,[],"[""Car Park"", ""Security"", ""Health Center"", ""Conference Hall"", ""Student House"", ""Dormitory"", ""Gym"", ""Cafeteria"", ""Career Office"", ""Research Laboratory"", ""Student Central"", ""Library""]","Krirk University"
Capitol Technology University,https://univerlist.com/capitol-technology-university/,United States of America,Maryland,https://univerlist.com/media/cache/fb/f0/fbf062a6808d570995f47992cc8eea8e.webp,"1,881,493",USD,https://univerlist.com/media/cache/bc/17/bc171c2ef4e5eb7ba1c7aafc30e25124.webp,Private,,,Private,,No,None,,-,No,,,,,[],"[""Bank"", ""It Services"", ""Biomechanics Laboratory"", ""Cinema"", ""Student House"", ""Gym"", ""Cafeteria"", ""Career Office"", ""Plaster Workshop"", ""Theatre"", ""Library""]","Capitol Technology University"
University of South Australia,https://univerlist.com/university-of-south-australia/,Australia,Adelaide,https://univerlist.com/media/cache/a4/df/a4dfa540c8a5083c3be5152594a20656.webp,"1,945,032",AUD,https://univerlist.com/media/cache/b9/b4/b9b4f9e548b1b456dca5bd92f2654ca5.webp,Public,,,Public,,No,Public University,,-,No,,,,,[],"[""Fitness Center"", ""Clubs and Societies"", ""Security"", ""Copy Center"", ""Student House"", ""Dormitory"", ""Gym"", ""Computer Games and Animation Laboratory"", ""Virtual Library"", ""Career Office"", ""Academic Counseling"", ""Alumni Clubs"", ""Library""]","101 Currie St Adelaide SA 5001 Australia"
Malmo University,https://univerlist.com/malmo-university/,Sweden,Malmo,https://univerlist.com/media/cache/40/0d/400d3d7c96a54946c7fbefd41cd8fbe7.webp,"862,662",EUR,https://univerlist.com/media/cache/da/6a/da6ab298b78f0c2b2e04496499dd52b4.webp,Public,,,Public,,Yes,Public University,,-,No,,,,,[],"[""Athletics Field"", ""It Services"", ""Print Centre"", ""Fitness Center"", ""Clubs and Societies"", ""Security"", ""Health Center"", ""Refectory"", ""Conference Hall"", ""Student House"", ""Dormitory"", ""Cafeteria"", ""Career Office"", ""Research Laboratory"", ""Language Centre"", ""Library""]","Malmo University"
University of Gdansk,https://univerlist.com/university-of-gdansks/,Poland,Gdansk,https://univerlist.com/media/cache/7c/70/7c70a61598c48cae7bf702525efbba62.webp,"133,180",PLN,https://univerlist.com/media/cache/dd/51/dd51d54848a48571fd2c901c3e08a616.webp,Private,27.860,,Private,,Yes,None,,-,No,,,,,[],"[""Biomechanics Laboratory"", ""Copy Center"", ""Radio Studio"", ""Gym"", ""Computer Games and Animation Laboratory"", ""Research Laboratory"", ""Sport Center"", ""Outlet"", ""Gallery"", ""Academic Counseling"", ""Dining Hall"", ""International Service""]","Rectorate of the University of Gdańskul. Bażyński 880-309 GdańskSecond floor, room 207"
Rikkyo University,https://univerlist.com/rikkyo-university/,Japan,Tokyo,https://univerlist.com/media/cache/01/06/0106a33f9c31f88842125f791005ef4d.webp,"552,204",JPY,https://univerlist.com/media/cache/f9/e0/f9e0e1c40f7f3a0d15be4ece36c93412.webp,Private,,,Private,,No,None,,-,Yes,,,,,[],"[""Car Park"", ""Clubs and Societies"", ""Conference Hall"", ""Dormitory"", ""Digital Design Studios"", ""Computer Games and Animation Laboratory"", ""Cafeteria"", ""Career Office"", ""Research Laboratory"", ""Outlet"", ""Student Central"", ""Academic Counseling"", ""Computer Room"", ""Library""]","3 Chome-34-1 Nishiikebukuro, Toshima City, Tokyo 171-8501, Japan"
Madrid Campus Geneva Business School,https://univerlist.com/madrid-campus-geneva-business-school/,Spain,Madrid,https://univerlist.com/media/cache/30/80/3080e54c084175d405ee764dc978266c.webp,"1,033,956",CHF,https://univerlist.com/media/cache/cb/3d/cb3d4dfd02cd54f9d0c728f0e7d369cc.webp,Private,,,Private,,No,None,,-,No,,,,,[],"[""Health Center"", ""Copy Center"", ""Conference Hall"", ""Student House"", ""Dormitory"", ""Gym"", ""Museum"", ""Cafeteria"", ""Library""]","Calle Duque de Liria, 6, 28015 Madrid (Spain)"
Jutland Art Academy,https://univerlist.com/jutland-art-academy/,Denmark,Aarhus,https://univerlist.com/media/cache/17/41/1741c5d012a00ae94af7f7175c17feaa.webp,"862,662",EUR,https://univerlist.com/media/cache/3a/17/3a17f2bf655b53028fd799a9d0446932.webp,Public,,,Public,,Yes,Public University,,-,No,,,,,[],"[""Drawing Centre"", ""Film Studio"", ""Photography Studio"", ""Art Center"", ""Wifi""]","Det Jyske Kunstakademi DJKMejlgade 32-34DK-8000 Århus C"
Radboud University,https://univerlist.com/radboud-university/,Netherlands,Nijmegen,https://univerlist.com/media/cache/af/f0/aff0993e2be5a4cc62a53e7eeb28f15c.webp,"852,639",USD,https://univerlist.com/media/cache/89/50/8950821c99fec934b8e20e1e23125190.webp,Public,22.142,,Public,,Yes,Public University,,-,No,,,,,"[{'program_name': 'American Studies', 'language': 'English', 'year': '3', 'tuition': None}, {'program_name': 'Artificial Intelligence', 'language': 'English', 'year': '3', 'tuition': None}, {'program_name': 'Arts and Culture Studies', 'language': 'English', 'year': '3', 'tuition': None}, {'program_name': 'Biology', 'language': 'English', 'year': '3', 'tuition': None}, {'program_name': 'Chemistry', 'language': 'English', 'year': '3', 'tuition': None}, {'program_name': 'Comparative European History', 'language': 'English', 'year': '3', 'tuition': None}, {'program_name': 'Computing Science', 'language': 'English', 'year': '3', 'tuition': None}, {'program_name': 'English Language and Culture', 'language': 'English', 'year': '3', 'tuition': None}]","[""Bank"", ""Car Park"", ""Security"", ""Health Center"", ""Radio Studio"", ""Gym"", ""Cafeteria"", ""Career Office"", ""Wifi"", ""Library""]","Comeniuslaan 4 6525 HP Nijmegen Netherlands"
Breda University of Applied Sciences Buas,https://univerlist.com/breda-university-of-applied-sciences-buas/,Netherlands,Breda,https://univerlist.com/media/cache/1f/ea/1fea2c28fbaf076f5a11ca639fa8db19.webp,"1,056,588",EUR,https://univerlist.com/media/cache/41/20/41200bbe7e911900ba62e04ab7b799d1.webp,Public,7.224,,Public,,Yes,Public University,,-,No,,,,,"[{'program_name': 'Built Environment International Spatial Development', 'language': 'English', 'year': '4', 'tuition': None}, {'program_name': 'Creative Business', 'language': 'English', 'year': '4', 'tuition': None}, {'program_name': 'Creative Media and Game Technologies', 'language': 'English', 'year': '4', 'tuition': None}, {'program_name': 'Hotel Management', 'language': 'English', 'year': '4', 'tuition': None}, {'program_name': 'International Facility Management', 'language': 'English', 'year': '4', 'tuition': None}, {'program_name': 'Leisure Studies', 'language': 'English', 'year': '3', 'tuition': None}, {'program_name': 'Leisure and Events Management', 'language': 'English', 'year': '4', 'tuition': None}, {'program_name': 'Logistics Engineering', 'language': 'English', 'year': '4', 'tuition': None}]","[""It Services"", ""Clubs and Societies"", ""Virtual Library"", ""Career Office"", ""Library""]","Breda University of Applied SciencesPostbus 3917 4800 DX  BredaThe Netherlands"
Temasek Polytechnic,https://univerlist.com/temasek-polytechnic/,Singapore,Singapore,https://univerlist.com/media/cache/1e/59/1e590143a5852ef062a610419ed1a630.webp,"736,685",USD,https://univerlist.com/media/cache/42/33/42336d7bcf819eb54f4bcfe645b3e669.webp,Public,,,Public,,Yes,Public University,,-,Yes,,,,,[],"[""Car Park"", ""Cinema"", ""Health Center"", ""Student House"", ""Gym"", ""Cafeteria"", ""Bikes on Campus"", ""Table Tennis"", ""Library""]","Temasek Polytechnic"
Mcmaster University,https://univerlist.com/mcmaster-university/,Canada,Hamilton,https://univerlist.com/media/cache/ab/cf/abcf48ddf6cdaff20395ffc8b29313f6.webp,"1,237,138",CAD,https://univerlist.com/media/cache/9d/74/9d74a221f3664376b3c785905a899643.webp,Public,,,Public,,No,Public University,,-,No,,,,,[],"[""Car Park"", ""Clubs and Societies"", ""Security"", ""Health Center"", ""Copy Center"", ""Conference Hall"", ""Dormitory"", ""Gym"", ""Cafeteria"", ""Psychology Education Laboratory"", ""Career Office"", ""Library""]","1280 Main St W Hamilton ON L8S 4L8 Canada"
UCAM Catholic University of Murcia,https://univerlist.com/catholic-university-san-antonio-de-murcia/,Spain,Murcia,https://univerlist.com/media/cache/2b/f5/2bf5f6878cdb27d1a0d9e264675b12e0.webp,"448,584",EUR,https://univerlist.com/media/cache/c4/97/c497377de0837d1358cb9b311d6f77dc.webp,Private,,,Private,,Yes,None,,%80.0,No,,,,,"[{'program_name': 'Business Administration', 'language': 'English', 'year': '4', 'tuition': '-'}, {'program_name': 'Dentistry', 'language': 'English', 'year': '5', 'tuition': '-'}, {'program_name': 'Pharmacy', 'language': 'English', 'year': '5', 'tuition': '-'}, {'program_name': 'Physical Activity and Sport Sciences', 'language': 'English', 'year': '4', 'tuition': '-'}, {'program_name': 'Psychology', 'language': 'English', 'year': '4', 'tuition': '-'}]","[""Biomechanics Laboratory"", ""Music Studio"", ""Drawing Centre"", ""Copy Center"", ""Conference Hall"", ""Student House"", ""Gym"", ""Cafeteria"", ""Career Office"", ""Table Tennis"", ""Academic Counseling"", ""Stadium"", ""Wifi"", ""Alumni Clubs"", ""Student Clubs"", ""Library""]","UCAM Catholic University of Murcia"
Neoma Business School,https://univerlist.com/neoma-business-school/,France,Paris,https://univerlist.com/media/cache/f7/68/f76862660c91044f262da2c61d3e84ef.webp,"736,685",USD,https://univerlist.com/media/cache/8f/d7/8fd74ff8adc58fdcc40621dca4a243c5.webp,Private,,,Private,,Yes,None,,%95.0,No,,,,,[],"[""Amphitheatre"", ""It Services"", ""Walking Track"", ""Car Park"", ""Security"", ""Swimming Pool"", ""Health Center"", ""Conference Hall"", ""Dormitory"", ""Gym"", ""Cafeteria"", ""Bikes on Campus"", ""Virtual Library"", ""Career Office"", ""Library""]","NEOMA Business School - Headquarters1 Rue du Maréchal JuinBP 21576825 Rouen, Normandiya, Fransa"
